,sim,model_name,nobs,log_marg,γ_map,γ_true,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true,posterior_probability
3,525,Inverse-Weibull_Log-Logistic,2000,-1561.0862399887128,0.03854381155888482,1.5,-13707.422369725988,-7053.4138642102525,-1644.7810687616159,-171.59349954805944,-127.25263247425696,-54.30793233997974,6.895269174962223e-35
4,525,Inverse-Weibull_Lomax,2000,-1547.1876276634694,0.045968637958337,1.5,-1437.8119030731498,-906.1726098616724,-304.08948528356746,-171.59349954805944,-127.25263247425696,-54.30793233997974,7.492760718863865e-29
5,525,Inverse-Weibull_Inverse-Weibull,2000,-1576.7151153322727,2.2149626804437212,1.5,-369.9200084955564,-240.18671897650637,-69.73793217130941,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.1246487492783083e-41
0,525,BMA,2000,,3.0717710318711724,1.5,-158.6300293562554,-110.33465382897889,-38.442502262457914,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,526,Weibull_Log-Logistic,2000,-1805.8282113861562,1.7714665005353414,1.5,-433.0640429454821,-289.455161003143,-107.32354817018093,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.2584071088516562
1,526,Weibull_Lomax,2000,-1804.9582069672747,1.711699172393656,1.5,-218.18622353181297,-161.4837345882877,-75.22643562936581,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.616797458294725
2,526,Weibull_Inverse-Weibull,2000,-1806.5560718091806,2.3282591057608464,1.5,-517.6204478053107,-345.3924609228043,-130.34060637646218,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.1247954328536188
3,526,Inverse-Weibull_Log-Logistic,2000,-1865.4873778954775,0.5367939038604255,1.5,-622.3917136685627,-421.6113319221877,-165.56981999806328,-171.59349954805944,-127.25263247425696,-54.30793233997974,3.1816884184981386e-27
4,526,Inverse-Weibull_Lomax,2000,-1852.394399503893,0.12431453135751351,1.5,-334.41960518075325,-245.38804304955488,-113.29953693314893,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.5447774253686725e-21
5,526,Inverse-Weibull_Inverse-Weibull,2000,-1872.0965029988913,0.6991194229160697,1.5,-1224.2166364345762,-785.7707620270384,-277.4202629640625,-171.59349954805944,-127.25263247425696,-54.30793233997974,4.2889509990350145e-30
0,526,BMA,2000,,1.804087338627294,1.5,-311.0802032322462,-217.50343001224664,-90.39855447827622,-171.59349954805944,-127.25263247425696,-54.30793233997974,
0,527,Weibull_Log-Logistic,2000,-1614.142143097045,4.205767095165691,1.5,-168.59733178089246,-117.69420584671653,-43.22073021722259,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.16002327090547655
1,527,Weibull_Lomax,2000,-1612.6413259157357,2.3616821540942854,1.5,-109.8478696077573,-79.48741332924949,-30.438257100496127,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.7177608453743581
2,527,Weibull_Inverse-Weibull,2000,-1614.411673325228,4.692952160515752,1.5,-181.9222023684367,-126.52459675803514,-48.01768436005974,-171.59349954805944,-127.25263247425696,-54.30793233997974,0.12221588372016533
3,527,Inverse-Weibull_Log-Logistic,2000,-1689.4661792732809,1.215454229729582,1.5,-375.76682629944224,-242.16633011271753,-71.60471082718202,-171.59349954805944,-127.25263247425696,-54.30793233997974,3.1000584135576693e-34
4,527,Inverse-Weibull_Lomax,2000,-1676.1810391669173,0.18262960909143044,1.5,-244.60152862764107,-175.27499560070538,-71.56003497262402,-171.59349954805944,-127.25263247425696,-54.30793233997974,1.8240339470422223e-28
