,sim,method,nobs,cap005,cap01,cap05,cap005_true,cap01_true,cap05_true
55,55,true,250,-1668.0736537509185,-928.9470988509507,-251.22830142767612,-151.23528817018322,-112.48527400129585,-47.509839309988706
55,55,best,250,-1331.4943947622999,-783.1235211423084,-220.3445708482766,-151.23528817018322,-112.48527400129585,-47.509839309988706
55,55,BMA,250,-1107.9994895426485,-645.996149129187,-179.06846608173907,-151.23528817018322,-112.48527400129585,-47.509839309988706
56,56,true,250,-2724.0607120154928,-1489.599176403383,-369.5486708604399,-151.23528817018322,-112.48527400129585,-47.509839309988706
56,56,best,250,-2158.719253444438,-1192.7886874040298,-311.8592610026176,-151.23528817018322,-112.48527400129585,-47.509839309988706
56,56,BMA,250,-3923.4347099028237,-1866.2053226126488,-400.38059363253706,-151.23528817018322,-112.48527400129585,-47.509839309988706
57,57,true,250,-1876.40222857782,-1010.2657798430804,-233.33276023828662,-151.23528817018322,-112.48527400129585,-47.509839309988706
57,57,best,250,-1894.5086038722898,-999.7336147044188,-230.96500553236243,-151.23528817018322,-112.48527400129585,-47.509839309988706
57,57,BMA,250,-2591.8051081572607,-1355.4281575771188,-307.9165529888885,-151.23528817018322,-112.48527400129585,-47.509839309988706
58,58,true,250,-2494.4747824596056,-1369.8564619451909,-386.8157818732082,-151.23528817018322,-112.48527400129585,-47.509839309988706
58,58,best,250,-327.1305651996792,-249.11374520520695,-124.37467516233964,-151.23528817018322,-112.48527400129585,-47.509839309988706
58,58,BMA,250,-1496.4719522646153,-851.3429765777834,-253.35639959492391,-151.23528817018322,-112.48527400129585,-47.509839309988706
59,59,true,250,-2694.34307805538,-1511.245685911579,-402.8002711693144,-151.23528817018322,-112.48527400129585,-47.509839309988706
59,59,best,250,-2452.525177604779,-1369.1040070171143,-383.02441583200334,-151.23528817018322,-112.48527400129585,-47.509839309988706
59,59,BMA,250,-1617.3018272370664,-902.5492909799225,-251.75110449683547,-151.23528817018322,-112.48527400129585,-47.509839309988706
60,60,true,250,-1845.5553859126453,-1047.3861940769332,-291.62087402047,-151.23528817018322,-112.48527400129585,-47.509839309988706
60,60,best,250,-126.31039759848163,-100.16007004502235,-53.20025997396898,-151.23528817018322,-112.48527400129585,-47.509839309988706
60,60,BMA,250,-433.5189109761972,-270.8024562586972,-96.18417410049732,-151.23528817018322,-112.48527400129585,-47.509839309988706
61,61,true,250,-1254.722537767898,-732.148903733656,-224.42564569598986,-151.23528817018322,-112.48527400129585,-47.509839309988706
61,61,best,250,-210.91346623917994,-160.40749811906633,-76.79606754089546,-151.23528817018322,-112.48527400129585,-47.509839309988706
61,61,BMA,250,-355.68322058808656,-228.5627514403909,-83.43760486264101,-151.23528817018322,-112.48527400129585,-47.509839309988706
62,62,true,250,-1585.0583742052283,-875.0748566359403,-215.6405391597072,-151.23528817018322,-112.48527400129585,-47.509839309988706
62,62,best,250,-1361.1541562638906,-790.7925690747958,-203.31560906566037,-151.23528817018322,-112.48527400129585,-47.509839309988706
62,62,BMA,250,-917.2143693177311,-525.0587820252406,-130.81977484361204,-151.23528817018322,-112.48527400129585,-47.509839309988706
63,63,true,250,-1174.7757985261817,-673.8701592060688,-171.01520812923982,-151.23528817018322,-112.48527400129585,-47.509839309988706
63,63,best,250,-940.4559149898341,-551.2028687942553,-145.57544896841182,-151.23528817018322,-112.48527400129585,-47.509839309988706
63,63,BMA,250,-559.3962999621136,-321.5327059536705,-79.03588552341165,-151.23528817018322,-112.48527400129585,-47.509839309988706
64,64,true,250,-3296.7122662138686,-1811.1037256025486,-478.51806864336396,-151.23528817018322,-112.48527400129585,-47.509839309988706
64,64,best,250,-3431.178263414171,-1844.1533875150426,-470.4175900797276,-151.23528817018322,-112.48527400129585,-47.509839309988706
64,64,BMA,250,-1957.88867342187,-1112.3259242597655,-301.73541640751773,-151.23528817018322,-112.48527400129585,-47.509839309988706
65,65,true,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
65,65,best,250,-15.231121691065521,-9.340009159046609,6.046291246897326,-151.23528817018322,-112.48527400129585,-47.509839309988706
65,65,BMA,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
66,66,true,250,-560.7943875566556,-386.5197797723342,-167.0864685631995,-151.23528817018322,-112.48527400129585,-47.509839309988706
66,66,best,250,-84.53530321023256,-77.17666955207669,-57.89403906275048,-151.23528817018322,-112.48527400129585,-47.509839309988706
66,66,BMA,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
67,67,true,250,,,,-151.23528817018322,-112.48527400129585,-47.509839309988706
